Artist Name,Artist URI,Track Name,Track URI,Album,Key,Mode,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Embed Code
Spencer Brown,4L9PX6lwPWo2NeuXL9kyJK,Phases,5OWWBPmbl5abcQlsCHieFK,Phases,9,1,0.702,0.659,-10.705,0.24,0.0742,0.849,0.191,0.118,124.019,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Phases"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/5OWWBPmbl5abcQlsCHieFK?utm_source=oembed""></iframe>"
Spencer Brown,4L9PX6lwPWo2NeuXL9kyJK,It's Me,7ruGyAPvRrNFqT2XroqzjP,It's Me,1,1,0.672,0.701,-7.121,0.0326,0.0403,0.0148,0.0936,0.159,124.063,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: It&apos;s Me"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/7ruGyAPvRrNFqT2XroqzjP?utm_source=oembed""></iframe>"
Spencer Brown,4L9PX6lwPWo2NeuXL9kyJK,Will We Remain? - Spencer Brown Remix,2JtLVLcBKBoMoM3C8OMtu4,Scars (Remixed),6,0,0.789,0.701,-6.582,0.035,0.00202,0.418,0.117,0.326,126.005,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Will We Remain? - Spencer Brown Remix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/2JtLVLcBKBoMoM3C8OMtu4?utm_source=oembed""></iframe>"
Spencer Brown,4L9PX6lwPWo2NeuXL9kyJK,Awu Wemadoda - Club Mix,2GlEeBVT9pTy2Kqoeq48dP,Awu Wemadoda,5,1,0.723,0.724,-9.065,0.0587,0.397,0.703,0.105,0.286,125.06,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Awu Wemadoda - Club Mix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/2GlEeBVT9pTy2Kqoeq48dP?utm_source=oembed""></iframe>"
Spencer Brown,4L9PX6lwPWo2NeuXL9kyJK,20ms,2tMJnfs9ZcmNLweduzrvBv,20ms,5,1,0.7,0.868,-7.069,0.0462,0.00697,0.865,0.45,0.0766,125.009,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: 20ms"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/2tMJnfs9ZcmNLweduzrvBv?utm_source=oembed""></iframe>"
Spencer Brown,4L9PX6lwPWo2NeuXL9kyJK,Long Way From Home,2yco9NUB8pfbekodkDK3SN,Long Way From Home,0,0,0.708,0.833,-6.785,0.0831,0.00938,0.207,0.0609,0.234,128.022,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Long Way From Home"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/2yco9NUB8pfbekodkDK3SN?utm_source=oembed""></iframe>"
Spencer Brown,4L9PX6lwPWo2NeuXL9kyJK,Sun In Your Eyes - Spencer Brown Edit,7cORfHvrFDJyMF0LaA5VRt,Sun In Your Eyes (Spencer Brown Remix),0,0,0.602,0.828,-6.734,0.0338,0.00586,0.788,0.25,0.146,124.996,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Sun In Your Eyes - Spencer Brown Edit"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/7cORfHvrFDJyMF0LaA5VRt?utm_source=oembed""></iframe>"
Spencer Brown,4L9PX6lwPWo2NeuXL9kyJK,Polar Bears,6cTNap7926WnNdrMkaWyZq,Deeper Tales,2,1,0.626,0.881,-6.232,0.0396,0.000425,0.903,0.23,0.301,125.992,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Polar Bears"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/6cTNap7926WnNdrMkaWyZq?utm_source=oembed""></iframe>"
Spencer Brown,4L9PX6lwPWo2NeuXL9kyJK,Audio,5bHV6UowNC1YVu8LYDkUjU,Illusion of Perfection,3,0,0.636,0.745,-8.418,0.0381,0.000652,0.218,0.155,0.143,125.072,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Audio"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/5bHV6UowNC1YVu8LYDkUjU?utm_source=oembed""></iframe>"
Spencer Brown,4L9PX6lwPWo2NeuXL9kyJK,Escape - Spencer Brown Remix,7nVF0vhNrzwFS3sbpwvpdR,Escape (Spencer Brown Remix),2,1,0.726,0.721,-10.183,0.0676,0.00414,0.537,0.103,0.111,128.005,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Escape - Spencer Brown Remix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/7nVF0vhNrzwFS3sbpwvpdR?utm_source=oembed""></iframe>"
Luttrell,4EOyJnoiiOJ4vuNhSBArB2,More Than Human,2BaHUOsnif6i7DywslE7Kc,Music For My Memories,1,1,0.559,0.866,-7.762,0.0362,0.0258,0.513,0.0958,0.144,124.023,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: More Than Human"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/2BaHUOsnif6i7DywslE7Kc?utm_source=oembed""></iframe>"
Luttrell,4EOyJnoiiOJ4vuNhSBArB2,Sunrise Song,30D2wqU8iuzaD653y938ip,Sunrise Song,1,1,0.774,0.732,-11.04,0.0346,0.00197,0.963,0.185,0.328,122.018,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Sunrise Song"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/30D2wqU8iuzaD653y938ip?utm_source=oembed""></iframe>"
Luttrell,4EOyJnoiiOJ4vuNhSBArB2,Twin Souls,0XXWZcLfM8drFINoxPx5fC,Twin Souls,6,1,0.577,0.873,-6.657,0.0344,0.259,0.947,0.118,0.201,122.982,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Twin Souls"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/0XXWZcLfM8drFINoxPx5fC?utm_source=oembed""></iframe>"
Luttrell,4EOyJnoiiOJ4vuNhSBArB2,Darling,26WRGnSxVhCytQeU01GA89,Darling / Waves,0,1,0.705,0.719,-6.602,0.0295,0.0218,0.672,0.374,0.366,125.018,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Darling"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/26WRGnSxVhCytQeU01GA89?utm_source=oembed""></iframe>"
Luttrell,4EOyJnoiiOJ4vuNhSBArB2,Dayglow,5depW2WwB7sREioBQQ3VZI,Music For My Memories,6,0,0.625,0.948,-6.601,0.0434,0.000362,0.918,0.273,0.683,124.011,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Dayglow"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/5depW2WwB7sREioBQQ3VZI?utm_source=oembed""></iframe>"
Luttrell,4EOyJnoiiOJ4vuNhSBArB2,After All,1y7mHNwGWPNt3qUCQTRdk9,Into Clouds,2,0,0.551,0.578,-11.133,0.0287,0.0113,0.69,0.21,0.185,121.967,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: After All"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/1y7mHNwGWPNt3qUCQTRdk9?utm_source=oembed""></iframe>"
Luttrell,4EOyJnoiiOJ4vuNhSBArB2,Can You Feel It - Luttrell Remix,5MsqpBVGxX0sk0yjTs4cLq,Can You Feel It (Luttrell Remix),5,0,0.578,0.794,-7.332,0.0941,0.0087,0.0576,0.438,0.25,126.014,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Can You Feel It - Luttrell Remix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/5MsqpBVGxX0sk0yjTs4cLq?utm_source=oembed""></iframe>"
