Artist Name,Artist URI,Track Name,Track URI,Album,Key,Mode,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Embed Code
Gabriel & Dresden,64KfnYe81Wld2AkG4bkGIV,Tracking Treasure Down,46bS76Bb8TP09Vof5NiuMe,Tracking Treasure Down (Marc Stout Remix),8,0,0.561,0.766,-5.058,0.0478,0.00358,0.000117,0.141,0.28,135.075,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Tracking Treasure Down"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/46bS76Bb8TP09Vof5NiuMe?utm_source=oembed""></iframe>"
Gabriel & Dresden,64KfnYe81Wld2AkG4bkGIV,As The Rush Comes - Gabriel & Dresden Chillout Mix,2e2heYBbXWRsDsUtTIVIaF,As The Rush Comes,7,1,0.492,0.715,-7.901,0.0478,0.217,0.000151,0.232,0.175,135.039,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: As The Rush Comes - Gabriel &amp; Dresden Chillout Mix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/2e2heYBbXWRsDsUtTIVIaF?utm_source=oembed""></iframe>"
Gabriel & Dresden,64KfnYe81Wld2AkG4bkGIV,Beautiful Things - Gabriel & Dresden Unplugged Mix,1WOCm5zJr1opYMnej9qaBQ,Nyana Mixed by Tiësto,4,0,0.724,0.631,-9.659,0.0407,0.00617,0.677,0.262,0.522,134.493,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Beautiful Things - Gabriel &amp; Dresden Unplugged Mix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/1WOCm5zJr1opYMnej9qaBQ?utm_source=oembed""></iframe>"
Gabriel & Dresden,64KfnYe81Wld2AkG4bkGIV,Beautiful Things (Mixed) - Gabriel & Dresden Unplugged Mix,1SANeZPHbyuk4oYl8QMDc6,ASOT 1001 - A State Of Trance Episode 1001 (A State Of Trance 1000 - Celebration Mix),11,0,0.742,0.616,-9.728,0.0311,0.00704,0.103,0.654,0.604,130.004,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Beautiful Things (Mixed) - Gabriel &amp; Dresden Unplugged Mix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/1SANeZPHbyuk4oYl8QMDc6?utm_source=oembed""></iframe>"
Gabriel & Dresden,64KfnYe81Wld2AkG4bkGIV,As The Rush Comes - Gabriel & Dresden Sweeping Strings Remix,6KnZOnWcs2dxRCbdBZusNF,As The Rush Comes,7,1,0.555,0.626,-10.951,0.035,0.0264,0.743,0.084,0.488,134.994,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: As The Rush Comes - Gabriel &amp; Dresden Sweeping Strings Remix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/6KnZOnWcs2dxRCbdBZusNF?utm_source=oembed""></iframe>"
Gabriel & Dresden,64KfnYe81Wld2AkG4bkGIV,Only Road - Cosmic Gate Remix,30r107ODEMiFUEpnFHSGW7,Only Road (Cosmic Gate Remix),7,1,0.495,0.866,-5.383,0.0662,0.00409,0.184,0.13,0.146,127.995,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Only Road - Cosmic Gate Remix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/30r107ODEMiFUEpnFHSGW7?utm_source=oembed""></iframe>"
Gabriel & Dresden,64KfnYe81Wld2AkG4bkGIV,Underwater - Tinlicker Remix (Edit),78kN9JODmLs9hKNEzsrsYU,Gabriel & Dresden Presents: 20 Years Of Anjunabeats,7,1,0.626,0.857,-8.253,0.0402,0.061,0.838,0.132,0.12,121.98,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Underwater - Tinlicker Remix (Edit)"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/78kN9JODmLs9hKNEzsrsYU?utm_source=oembed""></iframe>"
Gabriel & Dresden,64KfnYe81Wld2AkG4bkGIV,No One On Earth (Above & Beyond Respray) [Mixed] - Gabriel & Dresden Remix,0iSh5rhl2ot0882HYvSvyO,ASOT 1001 - A State Of Trance Episode 1001 (A State Of Trance 1000 - Celebration Mix),1,1,0.533,0.907,-6.942,0.0366,0.00598,0.846,0.319,0.388,130.027,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: No One On Earth (Above &amp; Beyond Respray) [Mixed] - Gabriel &amp; Dresden Remix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/0iSh5rhl2ot0882HYvSvyO?utm_source=oembed""></iframe>"
Gabriel & Dresden,64KfnYe81Wld2AkG4bkGIV,Falling Forward - Sultan + Shepard Remix,0dak7uypOBIUVGLqmaLtYU,Falling Forward (Sultan + Shepard Remix),7,1,0.646,0.853,-7.239,0.0407,0.0117,0.0116,0.222,0.0364,121.002,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Falling Forward - Sultan + Shepard Remix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/0dak7uypOBIUVGLqmaLtYU?utm_source=oembed""></iframe>"
Gabriel & Dresden,64KfnYe81Wld2AkG4bkGIV,Without You Near (Mixed) - Gabriel & Dresden Remix,6rWzgWRPNOOuaIpQT0Wo4W,ASOT 1001 - A State Of Trance Episode 1001 (A State Of Trance 1000 - Celebration Mix),5,0,0.511,0.9,-7.825,0.0465,3.66e-05,0.682,0.452,0.361,132.004,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Without You Near (Mixed) - Gabriel &amp; Dresden Remix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/6rWzgWRPNOOuaIpQT0Wo4W?utm_source=oembed""></iframe>"
