Artist Name,Artist URI,Track Name,Track URI,Album,Key,Mode,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Embed Code
Journey,0rvjqX7ttXeg3mTy8Xscbt,Don't Stop Believin',4bHsxqR3GMrXTxEPLuK5ue,Escape (Bonus Track Version),4,1,0.5,0.748,-9.072,0.0363,0.127,0,0.447,0.514,118.852,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Don&apos;t Stop Believin&apos;"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/4bHsxqR3GMrXTxEPLuK5ue?utm_source=oembed""></iframe>"
Journey,0rvjqX7ttXeg3mTy8Xscbt,Any Way You Want It,71SvEDmsOwIWw1IozsZoMA,Departure,7,1,0.529,0.932,-7.501,0.0488,0.00251,0.00109,0.136,0.571,138.158,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Any Way You Want It"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/71SvEDmsOwIWw1IozsZoMA?utm_source=oembed""></iframe>"
Journey,0rvjqX7ttXeg3mTy8Xscbt,Separate Ways (Worlds Apart),4ECNtOnqzxutZkXP4TE3n3,Frontiers,0,1,0.451,0.962,-3.947,0.0734,0.0188,3.17e-06,0.277,0.377,131.435,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Separate Ways (Worlds Apart)"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/4ECNtOnqzxutZkXP4TE3n3?utm_source=oembed""></iframe>"
Journey,0rvjqX7ttXeg3mTy8Xscbt,Open Arms,2w4EpqGasrz9qdTwocx54t,Escape (Bonus Track Version),2,1,0.405,0.21,-13.214,0.0279,0.584,0,0.139,0.174,100.577,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Open Arms"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/2w4EpqGasrz9qdTwocx54t?utm_source=oembed""></iframe>"
Journey,0rvjqX7ttXeg3mTy8Xscbt,Faithfully,57ebBLITHpRgRKGrlbxMZS,Frontiers,11,1,0.202,0.644,-5.212,0.0324,0.0979,0,0.109,0.252,85.04,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Faithfully"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/57ebBLITHpRgRKGrlbxMZS?utm_source=oembed""></iframe>"
Journey,0rvjqX7ttXeg3mTy8Xscbt,Wheel in the Sky,215wUTQQUo2PElJFEFoB0d,Infinity,2,0,0.442,0.745,-8.623,0.0741,0.084,2.18e-05,0.136,0.368,105.184,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Wheel in the Sky"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/215wUTQQUo2PElJFEFoB0d?utm_source=oembed""></iframe>"
Journey,0rvjqX7ttXeg3mTy8Xscbt,Lights,7EHmKkyAr6MZv5Y2FdZbXw,Infinity,7,1,0.193,0.498,-9.901,0.0381,0.107,0.00711,0.332,0.344,205.422,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Lights"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/7EHmKkyAr6MZv5Y2FdZbXw?utm_source=oembed""></iframe>"
Journey,0rvjqX7ttXeg3mTy8Xscbt,Who's Crying Now,5IK2FtuC0qmHHam9sWFxUI,Escape (Bonus Track Version),9,0,0.57,0.554,-9.732,0.0288,0.0548,0,0.139,0.372,122.135,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Who&apos;s Crying Now"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/5IK2FtuC0qmHHam9sWFxUI?utm_source=oembed""></iframe>"
Journey,0rvjqX7ttXeg3mTy8Xscbt,Separate Ways (Worlds Apart) - Bryce Miller/Alloy Tracks Remix,0muK9BAzu2TJXQgWPsEj6e,Separate Ways (Worlds Apart) [Bryce Miller/Alloy Tracks Remix],2,1,0.43,0.569,-9.274,0.044,0.0115,0.0134,0.163,0.0668,129.992,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Separate Ways (Worlds Apart) - Bryce Miller/Alloy Tracks Remix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/0muK9BAzu2TJXQgWPsEj6e?utm_source=oembed""></iframe>"
Journey,0rvjqX7ttXeg3mTy8Xscbt,Stone in Love,4cgSBnNzOo9rhwzUczB7HI,Escape (Bonus Track Version),7,1,0.488,0.871,-9.447,0.0781,0.00472,0.000776,0.676,0.518,118.986,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Stone in Love"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/4cgSBnNzOo9rhwzUczB7HI?utm_source=oembed""></iframe>"
